Kode,Nama,Tanggal Pencatatan
GWSA,PT Greenwood Sejahtera Tbk,23 Des 2011
GZCO,Gozco Plantations Tbk,15 Mei 2008
HADE,PT Himalaya Energi Perkasa Tbk,12 Apr 2004
HDFA,Radana Bhaskara Finance Tbk,10 Mei 2011
HDIT,PT Hensel Davest Indonesia Tbk,12 Jul 2019
HDTX,Panasia Indo Resources Tbk,06 Jun 1990
HEAL,PT Medikaloka Hermina Tbk.,16 Mei 2018
HELI,PT Jaya Trishindo Tbk,27 Mar 2018
HERO,Hero Supermarket Tbk,21 Ags 1989
HEXA,Hexindo Adiperkasa Tbk,13 Feb 1995
HITS,Humpuss Intermoda Transportasi Tbk,15 Des 1997
HKMU,PT HK Metals Utama Tbk,09 Okt 2018
HMSP,HM Sampoerna Tbk,15 Ags 1990
HOKI,PT Buyung Poetra Sembada Tbk.,22 Jun 2017
HOME,Hotel Mandarine Regency Tbk,17 Jul 2008
HOMI,PT Grand House Mulia Tbk,10 Sep 2020
HOTL,Saraswati Griya Lestari Tbk,10 Jan 2013
HRME,PT Menteng Heritage Realty Tbk.,12 Apr 2019
HRTA,PT Hartadinata Abadi Tbk,21 Jun 2017
HRUM,Harum Energy Tbk,06 Okt 2010
IATA,PT Indonesia Transport & Infrastructure Tbk.,13 Sep 2006
IBFN,PT Intan Baruprana Finance Tbk,22 Des 2014
IBST,Inti Bangun Sejahtera Tbk,31 Ags 2012
ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010
ICON,Island Concepts Indonesia Tbk,08 Jul 2005
IDPR,PT Indonesia Pondasi Raya Tbk.,10 Des 2015
IFII,PT Indonesia Fibreboard Industry Tbk,10 Des 2019
IFSH,PT Ifishdeco Tbk.,05 Des 2019
IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990
IIKP,Inti Agri Resources Tbk,14 Okt 2002
IKAI,Intikeramik Alamasri Industri Tbk,04 Jun 1997
IKAN,PT Era Mandiri Cemerlang Tbk,12 Feb 2020
IKBI,Sumi Indo Kabel Tbk,21 Jan 1991
IMAS,Indomobil Sukses Internasional Tbk,15 Nov 1993
IMJS,PT Indomobil Multi Jasa Tbk.,10 Des 2013
